map_size,sigma,learning_rate,init_method,qe,n_cluster
2x2,0.1,0.1,random_init,3.2201156847327805,4
2x2,0.1,0.2,random_init,3.2110769638165295,4
2x2,0.1,0.3,random_init,3.2167924043945515,4
2x2,0.1,0.4,random_init,3.2223058362524677,4
2x2,0.1,0.5,random_init,3.254422981315808,4
2x2,0.1,0.6,random_init,3.2084271978370276,4
2x2,0.1,0.7,random_init,3.2137582269221032,4
2x2,0.1,0.8,random_init,3.221157362549609,4
2x2,0.1,0.9,random_init,3.2286486650743376,4
2x2,0.2,0.1,random_init,3.2201156847141528,4
2x2,0.2,0.2,random_init,3.2110769638162426,4
2x2,0.2,0.3,random_init,3.216792404394531,4
2x2,0.2,0.4,random_init,3.2223058362524677,4
2x2,0.2,0.5,random_init,3.254422981315808,4
2x2,0.2,0.6,random_init,3.2084271978370276,4
2x2,0.2,0.7,random_init,3.2137582269221032,4
2x2,0.2,0.8,random_init,3.221157362549609,4
2x2,0.2,0.9,random_init,3.2286486650743376,4
2x2,0.3,0.1,random_init,3.2201153965338354,4
2x2,0.3,0.2,random_init,3.2110769592347856,4
2x2,0.3,0.3,random_init,3.216792403313999,4
2x2,0.3,0.4,random_init,3.222305836206067,4
2x2,0.3,0.5,random_init,3.25442298131149,4
2x2,0.3,0.6,random_init,3.2084271978370276,4
2x2,0.3,0.7,random_init,3.2137582269221032,4
2x2,0.3,0.8,random_init,3.221157362549609,4
2x2,0.3,0.9,random_init,3.2286486650743376,4
2x2,0.4,0.1,random_init,3.220094442559521,4
2x2,0.4,0.2,random_init,3.229482102047649,4
2x2,0.4,0.3,random_init,3.206418678023145,4
2x2,0.4,0.4,random_init,3.2020176202122475,4
2x2,0.4,0.5,random_init,3.2136207923830975,4
2x2,0.4,0.6,random_init,3.2084271978359484,4
2x2,0.4,0.7,random_init,3.2137582269219824,4
2x2,0.4,0.8,random_init,3.221157362549435,4
2x2,0.4,0.9,random_init,3.2286486650741586,4
2x2,0.5,0.1,random_init,3.219992361578733,4
2x2,0.5,0.2,random_init,3.2294571968656802,4
2x2,0.5,0.3,random_init,3.2064186657373703,4
2x2,0.5,0.4,random_init,3.202017611055075,4
2x2,0.5,0.5,random_init,3.213620759403523,4
2x2,0.5,0.6,random_init,3.2084271888439853,4
2x2,0.5,0.7,random_init,3.2137582232045956,4
2x2,0.5,0.8,random_init,3.221157358639594,4
2x2,0.5,0.9,random_init,3.2286486611383296,4
2x2,0.6,0.1,random_init,3.190271760709927,4
2x2,0.6,0.2,random_init,3.217827515423964,4
2x2,0.6,0.3,random_init,3.2064161752816314,4
2x2,0.6,0.4,random_init,3.202015961499572,4
2x2,0.6,0.5,random_init,3.213615792144587,4
2x2,0.6,0.6,random_init,3.208425315704698,4
2x2,0.6,0.7,random_init,3.2137572181524607,4
2x2,0.6,0.8,random_init,3.221156305892822,4
2x2,0.6,0.9,random_init,3.2286475860986674,4
2x2,0.7,0.1,random_init,3.179432811905778,4
2x2,0.7,0.2,random_init,3.2002953468613295,4
2x2,0.7,0.3,random_init,3.206335347814504,4
2x2,0.7,0.4,random_init,3.2019676519547016,4
2x2,0.7,0.5,random_init,3.2134875747993075,4
2x2,0.7,0.6,random_init,3.208379925360215,4
2x2,0.7,0.7,random_init,3.2137233567474364,4
2x2,0.7,0.8,random_init,3.2211208458385956,4
2x2,0.7,0.9,random_init,3.2286108442167225,4
2x2,0.8,0.1,random_init,3.1693519200755143,4
2x2,0.8,0.2,random_init,3.1987357815802167,4
2x2,0.8,0.3,random_init,3.2057691710403113,4
2x2,0.8,0.4,random_init,3.201503295570738,4
2x2,0.8,0.5,random_init,3.202581085262168,4
2x2,0.8,0.6,random_init,3.2078320221117624,4
2x2,0.8,0.7,random_init,3.2133884579282697,4
2x2,0.8,0.8,random_init,3.2206117589966046,4
2x2,0.8,0.9,random_init,3.2282411466951633,4
2x2,0.9,0.1,random_init,3.169235535688402,4
2x2,0.9,0.2,random_init,3.1883595401538494,4
2x2,0.9,0.3,random_init,3.189926716810665,4
2x2,0.9,0.4,random_init,3.1923762659920056,4
2x2,0.9,0.5,random_init,3.19789112987909,4
2x2,0.9,0.6,random_init,3.2051934881257855,4
2x2,0.9,0.7,random_init,3.212020010949559,4
2x2,0.9,0.8,random_init,3.2193451953980587,4
2x2,0.9,0.9,random_init,3.2266529237105526,4
3x3,0.1,0.1,random_init,1.9706614016826094,9
3x3,0.1,0.2,random_init,1.946764980007127,9
3x3,0.1,0.3,random_init,1.9660701085629049,9
3x3,0.1,0.4,random_init,1.9956810341677982,9
3x3,0.1,0.5,random_init,1.993981957173182,9
3x3,0.1,0.6,random_init,2.0079156382988113,9
3x3,0.1,0.7,random_init,2.0594626316808897,9
3x3,0.1,0.8,random_init,2.081767667579466,9
3x3,0.1,0.9,random_init,2.0980166774015365,9
3x3,0.2,0.1,random_init,1.9706614088335996,9
3x3,0.2,0.2,random_init,1.9467649799459406,9
3x3,0.2,0.3,random_init,1.9660701085636936,9
3x3,0.2,0.4,random_init,1.9956810341676376,9
3x3,0.2,0.5,random_init,1.9939819571731365,9
3x3,0.2,0.6,random_init,2.007915638298805,9
3x3,0.2,0.7,random_init,2.059462631680838,9
3x3,0.2,0.8,random_init,2.081767667579422,9
3x3,0.2,0.9,random_init,2.0980166774015303,9
3x3,0.3,0.1,random_init,1.9706868866704856,9
3x3,0.3,0.2,random_init,1.963016318554325,9
3x3,0.3,0.3,random_init,1.9660701272965875,9
3x3,0.3,0.4,random_init,1.99568103119192,9
3x3,0.3,0.5,random_init,1.9939819558275007,9
3x3,0.3,0.6,random_init,2.0079156381881655,9
3x3,0.3,0.7,random_init,2.0594626181323874,9
3x3,0.3,0.8,random_init,2.0817676546097723,9
3x3,0.3,0.9,random_init,2.0980166699279463,9
3x3,0.4,0.1,random_init,1.979158581187877,9
3x3,0.4,0.2,random_init,1.9695166025463957,9
3x3,0.4,0.3,random_init,1.9765578303001268,9
3x3,0.4,0.4,random_init,1.9956804068503864,9
3x3,0.4,0.5,random_init,2.0028736855578466,9
3x3,0.4,0.6,random_init,2.007915654906745,9
3x3,0.4,0.7,random_init,2.059459244871511,9
3x3,0.4,0.8,random_init,2.081765588326928,9
3x3,0.4,0.9,random_init,2.098014461572086,9
3x3,0.5,0.1,random_init,2.0416554249686247,9
3x3,0.5,0.2,random_init,1.9510332364545258,9
3x3,0.5,0.3,random_init,2.012874761569652,9
3x3,0.5,0.4,random_init,1.9669765096119556,9
3x3,0.5,0.5,random_init,2.006435492450744,9
3x3,0.5,0.6,random_init,2.0079203053607584,9
3x3,0.5,0.7,random_init,2.0287291170948376,9
3x3,0.5,0.8,random_init,2.081732968522774,9
3x3,0.5,0.9,random_init,2.0979697073862935,9
3x3,0.6,0.1,random_init,2.0568346844436367,9
3x3,0.6,0.2,random_init,1.9922419817229777,9
3x3,0.6,0.3,random_init,1.9824198682449379,9
3x3,0.6,0.4,random_init,1.9669942722293279,9
3x3,0.6,0.5,random_init,1.9968602696337332,9
3x3,0.6,0.6,random_init,2.0187246726916643,9
3x3,0.6,0.7,random_init,2.0287022487686097,9
3x3,0.6,0.8,random_init,2.081072517595405,9
3x3,0.6,0.9,random_init,2.092334212829244,9
3x3,0.7,0.1,random_init,2.074512302881646,9
3x3,0.7,0.2,random_init,1.9956108356036366,9
3x3,0.7,0.3,random_init,1.988710010239638,9
3x3,0.7,0.4,random_init,1.9869323599351774,9
3x3,0.7,0.5,random_init,2.0059495907519014,9
3x3,0.7,0.6,random_init,2.0122943408853744,9
3x3,0.7,0.7,random_init,2.054443746529979,9
3x3,0.7,0.8,random_init,2.0717230630976924,9
3x3,0.7,0.9,random_init,2.084748277379505,9
3x3,0.8,0.1,random_init,2.1405824732220986,9
3x3,0.8,0.2,random_init,2.012063785592853,9
3x3,0.8,0.3,random_init,1.9967518340409616,9
3x3,0.8,0.4,random_init,2.0242299146267735,9
3x3,0.8,0.5,random_init,2.0163546996343555,9
3x3,0.8,0.6,random_init,2.0246100355341237,9
3x3,0.8,0.7,random_init,2.0629399157574384,9
3x3,0.8,0.8,random_init,2.053364173072146,9
3x3,0.8,0.9,random_init,2.0714704750001225,9
3x3,0.9,0.1,random_init,2.063886450136051,9
3x3,0.9,0.2,random_init,2.0197992597473324,9
3x3,0.9,0.3,random_init,2.0445299739606897,9
3x3,0.9,0.4,random_init,2.041784674299562,9
3x3,0.9,0.5,random_init,2.0385048132850154,9
3x3,0.9,0.6,random_init,2.0385837370011375,9
3x3,0.9,0.7,random_init,2.050021570931961,9
3x3,0.9,0.8,random_init,2.0591841257718824,9
3x3,0.9,0.9,random_init,2.073918648058018,9
4x4,0.1,0.1,random_init,1.5967557822506593,16
4x4,0.1,0.2,random_init,1.5567400384800683,16
4x4,0.1,0.3,random_init,1.5416888336672083,16
4x4,0.1,0.4,random_init,1.5566875378967022,16
4x4,0.1,0.5,random_init,1.564325748602213,16
4x4,0.1,0.6,random_init,1.5880095470613496,16
4x4,0.1,0.7,random_init,1.6008454344491592,16
4x4,0.1,0.8,random_init,1.5821874546475845,16
4x4,0.1,0.9,random_init,1.612405409960552,16
4x4,0.2,0.1,random_init,1.5967557858869355,16
4x4,0.2,0.2,random_init,1.5567400431446405,16
4x4,0.2,0.3,random_init,1.5416888321463649,16
4x4,0.2,0.4,random_init,1.5566875374865798,16
4x4,0.2,0.5,random_init,1.5643257470691452,16
4x4,0.2,0.6,random_init,1.5880095466490016,16
4x4,0.2,0.7,random_init,1.6008454338979297,16
4x4,0.2,0.8,random_init,1.5821874546929506,16
4x4,0.2,0.9,random_init,1.6124054099655398,16
4x4,0.3,0.1,random_init,1.5891420392527762,16
4x4,0.3,0.2,random_init,1.5411378054466978,16
4x4,0.3,0.3,random_init,1.5416735694128658,16
4x4,0.3,0.4,random_init,1.555643825227752,16
4x4,0.3,0.5,random_init,1.568718547269106,16
4x4,0.3,0.6,random_init,1.587906187737399,16
4x4,0.3,0.7,random_init,1.6009560687899094,16
4x4,0.3,0.8,random_init,1.5821883130847851,16
4x4,0.3,0.9,random_init,1.6124055219087097,16
4x4,0.4,0.1,random_init,1.5918918595999088,16
4x4,0.4,0.2,random_init,1.5744047852522778,16
4x4,0.4,0.3,random_init,1.561971281554422,16
4x4,0.4,0.4,random_init,1.5644858824681296,16
4x4,0.4,0.5,random_init,1.585064789563343,16
4x4,0.4,0.6,random_init,1.605827260959084,16
4x4,0.4,0.7,random_init,1.60661180416893,16
4x4,0.4,0.8,random_init,1.6241074774741282,16
4x4,0.4,0.9,random_init,1.6233181895863524,16
4x4,0.5,0.1,random_init,1.6315070459380545,16
4x4,0.5,0.2,random_init,1.6410359801807382,16
4x4,0.5,0.3,random_init,1.604563415147903,16
4x4,0.5,0.4,random_init,1.6443179748172474,16
4x4,0.5,0.5,random_init,1.6041372471940034,16
4x4,0.5,0.6,random_init,1.6252534797643627,16
4x4,0.5,0.7,random_init,1.6158867233726515,16
4x4,0.5,0.8,random_init,1.608522208729734,16
4x4,0.5,0.9,random_init,1.6641692858381412,16
4x4,0.6,0.1,random_init,1.7572032785530967,16
4x4,0.6,0.2,random_init,1.6509635942729428,16
4x4,0.6,0.3,random_init,1.6157506339167662,16
4x4,0.6,0.4,random_init,1.5741895136911805,16
4x4,0.6,0.5,random_init,1.5901978500427087,16
